id,指标主键,quota_level,建议ID,风险级别,画像类别,驾驶员建议内容,管理员建议内容,建议来源
id,quota_id,quota_level,suggested_id,risk_level,profile_type,content_drvier,content,content_src
1,驾驶员画像-事故风险-健康风险-生理状态-体温,4,1,4,驾驶员画像,每日上岗前自测体温，体温异常时立即上报并暂停驾驶。,定期组织驾驶员体温监测，异常人员暂停上岗并跟踪处置。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
2,驾驶员画像-事故风险-健康风险-生理状态-收缩压,4,2,4,驾驶员画像,上岗前检测血压，超过140/90mmHg立即上报，避免带病驾驶。,建立驾驶员血压监测机制，对异常人员实施限岗或健康干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
3,驾驶员画像-事故风险-健康风险-生理状态-舒张压,4,3,4,驾驶员画像,上岗前检测血压，超过140/90mmHg立即上报，避免带病驾驶。,建立驾驶员血压监测机制，对异常人员实施限岗或健康干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
4,驾驶员画像-事故风险-健康风险-生理状态-脉搏,4,4,4,驾驶员画像,上岗前检查脉搏，出现明显异常时立即上报并停止驾驶。,对脉搏异常驾驶员启动健康评估，必要时暂停其运营任务。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
5,驾驶员画像-事故风险-健康风险-生理状态-血氧,4,5,4,驾驶员画像,上岗前关注血氧水平，血氧偏低时及时上报并暂停运营。,加强驾驶员血氧监测，异常情况及时干预并调整排班。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
6,驾驶员画像-事故风险-健康风险-生理状态-心率,4,6,4,驾驶员画像,上岗前检查心率，出现明显异常时立即上报并停止驾驶。,对心率异常驾驶员启动健康评估，必要时暂停其运营任务。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
7,驾驶员画像-事故风险-健康风险-生理状态-酒精浓度,4,7,4,驾驶员画像,注意饮酒后驾驶，酒精检测异常时系统将禁止出车。,严格执行酒精检测制度，异常结果自动触发停岗与复核流程。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
8,驾驶员画像-事故风险-健康风险-精神状态-心理测评等级,4,8,4,驾驶员画像,关注心理测评等级状态，发现异常及时上报并按指引处置。,针对心理测评等级建立监测与预警机制，发现异常及时处置。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
9,驾驶员画像-事故风险-其他风险-年龄,3,9,4,驾驶员画像,年龄偏大（超50岁）时加强身体锻炼，定期参与驾驶技能复训，保持操作熟练度,按年龄分层管理驾驶员，对高风险群体（如年龄超55岁/驾龄不足2年）加强培训和跟车监督,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
10,驾驶员画像-事故风险-其他风险-性别,3,10,4,驾驶员画像,关注-状态，发现异常及时上报并按指引处置。,针对-建立监测与预警机制，发现异常及时处置。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
11,驾驶员画像-事故风险-其他风险-教育水平,3,11,4,驾驶员画像,主动参与公司组织的安全知识培训，提升安全驾驶认知，适配运营需求。,按教育水平分层开展安全培训，针对低学历驾驶员增加实操教学时长。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
12,驾驶员画像-事故风险-其他风险-驾龄,3,12,4,驾驶员画像,驾龄不足3年时多向老驾驶员学习应急处置技巧，驾龄超10年仍需定期复训保持状态。,对驾龄<2年驾驶员实施跟车带教，驾龄>15年驾驶员定期开展反应速度测试。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
13,驾驶员画像-事故风险-其他风险-历史行驶总里程,3,13,4,驾驶员画像,当行驶总里程月超8000公里时，注意监测疲劳状态，出现困倦立即申请休息。,月行驶总里程超8000公里的驾驶员，强制安排每月1次休息调整，避免负荷过载。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
14,驾驶员画像-事故风险-其他风险-历史安全行驶里程,3,14,4,驾驶员画像,累计安全里程提升后仍需保持谨慎驾驶，避免因经验麻痹忽视潜在风险。,将累计安全行驶里程纳入驾驶员评优，激励长期保持安全驾驶习惯。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
15,驾驶员画像-事故风险-其他风险-日工时,3,15,4,驾驶员画像,日工时超8小时后主动检查注意力状态，避免疲劳驾驶，必要时申请调班。,设置日工时上限（不超10小时），超限时自动触发排班调整，防止疲劳驾驶。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
16,驾驶员画像-事故风险-其他风险-历史事故率,3,16,4,驾驶员画像,定期回顾自身过往事故案例，总结事故诱因（如急加速、未礼让），日常驾驶中针对性规避同类操作，降低事故复发概率。,建立历史事故率指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
17,驾驶员画像-事故风险-违法违章-闯红灯,3,17,4,驾驶员画像,通过路口前 100 米提前减速，观察信号灯变化，黄灯亮起时未过停止线立即停车，注意抢灯通行。,在高频闯红灯路口加装监控，发现违规立即推送警示，月度统计并干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
18,驾驶员画像-事故风险-违法违章-闯黄灯,3,18,4,驾驶员画像,路口前 50 米预判信号灯，黄灯亮起时已过停止线平稳通过，未过线则停车等待，不强行闯黄灯。,在高频闯黄灯路口加装监控，发现违规立即推送警示，月度统计并干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
19,驾驶员画像-事故风险-违法违章-违法交通标志标线,3,19,4,驾驶员画像,变道前提前打转向灯，观察后视镜及侧方车辆，确认安全距离（≥50 米）后再平稳变道，注意连续变道。,建立违法交通标志标线指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
