"moudle","id","data_name"
"车辆状态","D1","CAN厂家"
"车辆状态","D2","GPS经度"
"车辆状态","D3","GPS纬度"
"车身信息","D4","总里程"
"车身信息","D5","小计里程"
"车身信息","D6","车速"
"车身信息","D7","ACC总电源"
"车身信息","D8","档位"
"车身信息","D9","手刹状态"
"车身信息","D10","驻车制动"
"车身信息","D11","前门状态"
"车身信息","D12","中门状态"
"车身信息","D13","喇叭状态"
"车身信息","D14","路牌灯"
"车身信息","D15","ABS故障"
"车身信息","D16","左后转向灯"
"车身信息","D17","右后转向灯"
"车身信息","D18","倒车灯"
"车身信息","D19","后雾灯"
"车身信息","D20","制动灯"
"车身信息","D21","左前转向灯"
"车身信息","D22","右前转向灯"
"车身信息","D23","左远光灯"
"车身信息","D24","右远光灯（修改为近光灯）"
"车身信息","D25","电池组温度状态"
"车身信息","D26","动力电池故障"
"车身信息","D27","SOC剩余电量"
"车身信息","D28","总电压"
"车身信息","D29","总电流"
"车身信息","D30","最高单体电压"
"车身信息","D31","最低单体电压"
"车身信息","D32","最高单体电压位置"
"车身信息","D33","最低单体电压位置"
"车身信息","D34","最高单体温度"
"车身信息","D35","最低单体温度"
"车身信息","D36","最高单体温度位置"
"车身信息","D37","最低单体温度位置"
"车身信息","D38","续航里程(km)"
"车身信息","D39","交流充电插头状态"
"车身信息","D40","直流充电插头状态"
"车身信息","D41","充电时长"
"车身信息","D42","交流充电电压"
"车身信息","D43","直流充电电压"
"车身信息","D44","交流充电电流"
"车身信息","D45","直流充电电流"
"车身信息","D46","充电时SOC"
"车身信息","D47","充电时最高单体电压"
"车身信息","D48","充电时最高箱体温度"
"车身信息","D49","左充电系统工作状态"
"车身信息","D50","右充电系统工作状态"
"车身信息","D51","充电状态"
"电机控制器（左）","D52","左转速"
"电机控制器（左）","D53","左电机扭距（转矩）"
"电机控制器（左）","D54","左控制器散热器温度"
"电机控制器（左）","D55","左控制器温度"
"电机控制器（左）","D56","左电机母线电压"
"电机控制器（左）","D57","电机母线电流"
"电机控制器（左）","D58","逆变器温度"
"电机控制器（左）","D59","左电机绕组温度"
"电机控制器（左）","D60","电机控制器基本状态"
"电机控制器（左）","D61","左电机故障"
"电机控制器（右）","D62","右转速"
"电机控制器（右）","D63","右电机扭距（转矩）"
"电机控制器（右）","D64","右控制器散热器温度"
"电机控制器（右）","D65","右控制器温度"
"电机控制器（右）","D66","右电机母线电压"
